id,stratum,gold_source,arrival,arrival_round,speech_act,future_answer,clock,coord_topic,register,env,task
G187,format_state_placeholder,agree,false,null,request,false,none,true,neither,false,false
G188,negative_random,agree,true,4,observation,false,none,true,task,false,true
G189,speech_prediction,agree,false,null,prediction,false,none,true,task,false,true
G190,speech_prediction,agree,false,null,prediction,false,none,true,task,false,true
G191,coord_topic,agree,false,null,prediction,false,none,true,task,false,true
G192,format_state_placeholder,agree,false,null,request,false,none,true,neither,false,false
G193,clock_C_past_event,agree,true,3,observation,false,past_event,true,task,false,true
G194,clock_A_pair,agree,false,null,prediction,false,pair,true,environment,true,false
G195,speech_observation_weak,agree,true,2,observation,true,none,true,task,false,true
G196,speech_prediction,agree,false,null,prediction,false,none,true,neither,false,false
G197,format_r_confirmed,agree,true,5,observation,false,none,true,task,false,true
G198,strong_obs,agree,true,3,observation,false,none,true,task,false,true
G199,future_answer_candidate,agree,true,4,observation,true,none,true,neither,false,false
G200,env_positive,agree,false,null,request,false,none,true,environment,true,false
G201,coord_topic,agree,true,5,observation,false,past_event,true,task,false,true
G202,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G203,negative_random,agree,false,null,prediction,false,none,true,neither,false,false
G204,strong_obs,agree,true,1,observation,false,past_event,true,task,false,true
G205,clock_C_past_event,agree,true,1,observation,false,past_event,true,task,false,true
G206,negative_random,adjudicated,false,null,observation,false,none,true,task,false,true
G207,clock_B_bare_now,agree,false,null,negation,false,bare_internal,true,environment,true,false
G208,coord_topic,agree,false,null,prediction,false,none,true,task,false,true
G209,future_answer_candidate,agree,true,4,observation,true,none,true,neither,false,false
G210,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G211,speech_request,agree,false,null,request,false,none,true,environment,true,false
G212,format_r_confirmed,agree,true,4,observation,false,past_event,true,task,false,true
G213,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G214,negative_random,agree,true,1,observation,false,none,true,task,false,true
G215,strong_obs,agree,true,4,observation,false,none,true,task,false,true
G216,speech_negation,agree,false,null,negation,false,none,true,environment,true,false
G217,format_state_filled,adjudicated,true,5,observation,true,none,true,task,false,true
G218,format_r_confirmed,agree,true,3,observation,false,none,true,task,false,true
G219,speech_negation,agree,false,null,negation,false,none,true,environment,true,false
G220,negative_random,agree,true,2,observation,false,none,true,task,false,true
G221,coord_topic,agree,false,null,request,false,none,true,neither,false,false
G222,env_positive,adjudicated,false,null,none,false,none,false,both,true,true
G223,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G224,speech_prediction,adjudicated,false,null,prediction,false,none,true,neither,false,false
G225,format_r_confirmed,agree,true,2,observation,false,past_event,true,task,false,true
G226,env_positive,agree,false,null,observation,false,none,true,environment,true,false
G227,negative_random,adjudicated,false,null,negation,false,none,true,neither,false,false
G228,format_state_filled,adjudicated,false,null,none,false,none,false,neither,false,false
G229,env_positive,agree,false,null,request,false,none,true,environment,true,false
G230,negative_random,agree,false,null,observation,false,none,false,task,false,true
G231,speech_prediction,agree,false,null,prediction,false,none,true,environment,true,false
G232,speech_observation_weak,agree,true,5,observation,false,none,true,task,false,true
G233,speech_prediction,agree,false,null,observation,false,none,true,task,false,true
G234,format_r_confirmed,agree,true,2,observation,false,past_event,true,task,false,true
G235,speech_negation,agree,false,null,negation,false,none,true,environment,true,false
G236,speech_observation_weak,agree,true,2,observation,false,none,true,neither,false,false
G237,clock_C_past_event,agree,true,6,observation,false,past_event,true,task,false,true
G238,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G239,speech_prediction,adjudicated,false,null,prediction,false,none,true,task,false,true
G240,format_r_confirmed,agree,true,4,observation,false,past_event,true,task,false,true
G241,clock_B_bare_now,agree,false,null,observation,false,bare_internal,true,neither,false,false
G242,format_r_confirmed,agree,true,3,observation,false,past_event,true,task,false,true
G243,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G244,speech_observation_weak,agree,true,2,observation,false,none,true,task,false,true
G245,negative_random,agree,false,null,observation,false,none,true,task,false,true
G246,speech_prediction,agree,false,null,observation,false,none,true,neither,false,false
G247,clock_A_pair,agree,false,null,prediction,false,none,true,environment,true,false
G248,speech_observation_weak,agree,true,1,observation,false,none,true,task,false,true
G249,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G250,env_positive,agree,false,null,request,false,none,true,neither,false,false
G251,speech_negation,agree,false,null,negation,false,none,true,environment,true,false
G252,format_state_filled,adjudicated,false,null,none,false,none,true,neither,false,false
G253,negative_random,agree,false,null,observation,false,bare_internal,true,neither,false,false
G254,clock_A_pair,adjudicated,false,null,prediction,false,none,true,both,true,true
G255,clock_B_bare_now,agree,false,null,observation,false,bare_internal,true,environment,true,false
G256,negative_random,agree,true,3,observation,false,none,true,task,false,true
G257,speech_observation_weak,agree,true,4,observation,false,none,true,task,false,true
G258,negative_random,agree,false,null,prediction,false,none,true,task,false,true
G259,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G260,env_positive,adjudicated,false,null,none,false,none,false,both,true,true
G261,negative_random,agree,false,null,none,false,none,false,task,false,true
G262,negative_random,agree,false,null,prediction,false,none,true,task,false,true
G263,negative_random,adjudicated,true,4,observation,false,none,true,neither,false,false
G264,strong_obs,agree,true,3,observation,false,none,true,task,false,true
G265,negative_random,agree,false,null,none,false,none,false,task,false,true
G266,clock_B_bare_now,adjudicated,false,null,prediction,false,bare_internal,true,environment,true,false
G267,speech_request,agree,false,null,negation,false,none,true,neither,false,false
G268,negative_random,agree,false,null,none,false,none,false,task,false,true
G269,format_r_confirmed,agree,true,3,observation,false,past_event,true,task,false,true
G270,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G271,speech_prediction,agree,false,null,prediction,false,none,true,environment,true,false
G272,negative_random,adjudicated,false,null,observation,false,none,true,task,false,true
G273,format_state_placeholder,agree,false,null,request,false,none,true,environment,true,false
G274,speech_observation_weak,agree,true,3,observation,false,none,true,task,false,true
G275,negative_random,adjudicated,false,null,observation,false,past_event,true,task,false,true
G276,format_r_confirmed,agree,true,2,observation,false,none,true,task,false,true
G277,coord_topic,agree,true,3,observation,false,past_event,true,neither,false,false
G278,speech_prediction,agree,false,null,prediction,false,none,true,neither,false,false
G279,strong_obs,agree,true,2,observation,false,none,true,task,false,true
G280,speech_request,agree,false,null,request,false,none,true,environment,true,false
G281,negative_random,agree,true,1,observation,false,none,true,task,false,true
G282,coord_topic,agree,false,null,negation,false,none,true,neither,false,false
G283,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G284,negative_random,adjudicated,false,null,request,false,none,true,environment,true,false
G285,coord_topic,agree,false,null,prediction,false,none,true,task,false,true
G286,future_answer_ack,agree,true,4,observation,true,none,true,task,false,true
G287,strong_obs,agree,true,3,observation,false,none,true,task,false,true
G288,format_r_confirmed,agree,true,4,observation,false,past_event,true,task,false,true
G289,strong_obs,agree,true,3,observation,false,past_event,true,task,false,true
G290,speech_request,agree,false,null,request,false,none,true,environment,true,false
G291,speech_prediction,adjudicated,false,null,observation,false,none,true,environment,true,false
G292,speech_request,agree,false,null,prediction,false,none,true,task,false,true
G293,negative_random,adjudicated,false,null,observation,false,none,true,task,false,true
G294,speech_observation_weak,agree,true,3,observation,false,none,true,task,false,true
G295,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G296,speech_negation,agree,false,null,request,false,none,true,environment,true,false
G297,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G298,future_answer_candidate,agree,true,4,observation,true,none,true,neither,false,false
G299,clock_C_past_event,agree,true,1,observation,false,past_event,true,task,false,true
G300,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G301,clock_A_pair,agree,false,null,observation,false,pair,true,environment,true,false
G302,speech_observation_weak,agree,true,4,observation,false,none,true,task,false,true
G303,format_state_filled,agree,false,null,none,false,none,false,neither,false,false
G304,negative_random,adjudicated,false,null,prediction,false,none,true,both,true,true
G305,format_r_confirmed,agree,true,3,observation,false,past_event,true,task,false,true
G306,negative_random,agree,false,null,prediction,false,none,true,neither,false,false
G307,env_positive,agree,false,null,request,false,none,true,environment,true,false
G308,strong_obs,agree,true,2,observation,false,none,true,task,false,true
G309,negative_random,adjudicated,false,null,request,false,none,true,task,false,true
G310,env_positive,agree,false,null,observation,false,none,true,environment,true,false
G311,clock_B_bare_now,agree,true,3,observation,false,bare_internal,true,neither,false,false
G312,env_positive,adjudicated,false,null,none,false,none,false,both,true,true
G313,speech_negation,agree,false,null,negation,false,none,true,neither,false,false
G314,strong_obs,agree,true,1,observation,false,past_event,true,task,false,true
G315,negative_random,agree,true,2,observation,false,none,true,task,false,true
G316,speech_request,agree,false,null,request,false,none,true,neither,false,false
G317,env_positive,adjudicated,false,null,none,false,none,false,both,true,true
G318,speech_negation,agree,false,null,prediction,false,none,true,task,false,true
G319,negative_random,agree,false,null,request,false,none,true,task,false,true
G320,speech_prediction,agree,false,null,prediction,false,none,true,task,false,true
G321,speech_prediction,agree,false,null,prediction,false,none,true,neither,false,false
G322,negative_random,adjudicated,true,2,observation,false,none,true,task,false,true
G323,negative_random,agree,false,null,prediction,false,none,true,neither,false,false
G324,format_state_placeholder,agree,false,null,request,false,none,true,neither,false,false
G325,negative_random,agree,false,null,prediction,false,none,true,task,false,true
G326,speech_request,agree,false,null,request,false,none,true,environment,true,false
G327,negative_random,agree,false,null,request,false,none,true,environment,true,false
G328,speech_observation_weak,agree,true,1,observation,false,none,true,task,false,true
G329,format_r_confirmed,agree,true,5,observation,false,none,true,task,false,true
G330,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G331,strong_obs,agree,true,3,observation,false,none,true,task,false,true
G332,future_answer_candidate,agree,false,null,prediction,false,bare_internal,true,neither,false,false
G333,env_positive,agree,false,null,prediction,false,none,true,neither,false,false
G334,clock_C_past_event,adjudicated,true,1,observation,false,past_event,true,task,false,true
G335,speech_negation,adjudicated,false,null,none,true,none,true,neither,false,false
G336,format_state_filled,agree,false,null,none,false,none,false,neither,false,false
G337,negative_random,agree,false,null,negation,false,bare_internal,true,environment,true,false
G338,speech_negation,adjudicated,true,4,negation,true,none,true,environment,true,false
G339,speech_negation,agree,false,null,negation,true,none,true,neither,false,false
G340,speech_observation_weak,agree,true,2,observation,false,past_event,true,task,false,true
G341,speech_observation_weak,agree,true,2,observation,false,past_event,true,task,false,true
G342,clock_C_past_event,agree,true,2,observation,false,past_event,true,task,false,true
G343,env_positive,adjudicated,false,null,none,false,none,false,both,true,true
G344,speech_request,agree,false,null,request,false,none,true,neither,false,false
G345,future_answer_candidate,agree,true,4,observation,true,none,true,neither,false,false
G346,strong_obs,agree,true,5,observation,false,past_event,true,task,false,true
G347,clock_B_bare_now,agree,false,null,observation,false,bare_internal,true,environment,true,false
G348,speech_prediction,agree,false,null,prediction,false,none,true,task,false,true
G349,future_answer_candidate,agree,true,1,observation,false,past_event,true,task,false,true
G350,clock_C_past_event,agree,true,1,observation,false,past_event,true,task,false,true
G351,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G352,format_state_filled,agree,true,5,observation,true,none,true,task,false,true
G353,negative_random,agree,true,4,observation,false,none,true,task,false,true
G354,clock_A_pair,agree,true,2,observation,false,bare_internal,true,neither,false,false
G355,clock_B_bare_now,agree,false,null,observation,false,bare_internal,true,neither,false,false
G356,speech_negation,agree,false,null,negation,false,none,true,environment,true,false
G357,future_answer_ack,agree,true,4,observation,true,none,true,task,false,true
G358,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G359,format_r_confirmed,agree,true,3,observation,false,past_event,true,task,false,true
G360,speech_prediction,agree,false,null,prediction,false,none,true,neither,false,false
G361,negative_random,agree,false,null,observation,false,none,true,neither,false,false
G362,strong_obs,agree,true,2,observation,false,past_event,true,task,false,true
G363,format_state_placeholder,agree,false,null,request,false,none,true,neither,false,false
G364,clock_C_past_event,agree,false,null,request,false,none,true,neither,false,false
G365,speech_negation,agree,false,null,negation,false,none,true,environment,true,false
G366,negative_random,adjudicated,false,null,observation,false,none,true,environment,true,false
G367,speech_request,adjudicated,false,null,none,false,none,true,neither,false,false
G368,env_positive,agree,false,null,request,false,none,true,environment,true,false
G369,speech_negation,agree,true,1,observation,false,none,false,task,false,true
G370,negative_random,adjudicated,false,null,observation,false,none,true,task,false,true
G371,speech_observation_weak,agree,true,2,observation,false,none,true,task,false,true
G372,speech_prediction,agree,false,null,prediction,false,none,true,environment,true,false
G373,negative_random,agree,false,null,prediction,false,none,true,neither,false,false
G374,clock_C_past_event,agree,true,4,observation,false,past_event,true,task,false,true
G375,speech_request,adjudicated,false,null,request,false,none,true,environment,true,false
G376,speech_observation_weak,agree,true,1,observation,false,none,false,task,false,true
G377,speech_negation,agree,false,null,negation,false,none,true,environment,true,false
G378,negative_random,agree,true,1,observation,false,none,true,task,false,true
G379,clock_C_past_event,adjudicated,false,null,observation,false,past_event,true,task,false,true
G380,negative_random,agree,false,null,prediction,false,none,true,neither,false,false
G381,speech_request,agree,false,null,request,false,none,true,neither,false,false
G382,coord_topic,agree,false,null,none,false,none,true,environment,true,false
G383,negative_random,adjudicated,true,1,observation,false,none,true,task,false,true
G384,format_state_filled,adjudicated,false,null,negation,false,past_event,true,environment,true,false
G385,negative_random,agree,false,null,none,false,none,false,neither,false,false
G386,clock_C_past_event,agree,true,1,observation,false,past_event,true,task,false,true
G387,strong_obs,agree,true,4,observation,false,none,true,task,false,true
G388,future_answer_ack,agree,true,2,observation,true,bare_internal,true,neither,false,false
G389,coord_topic,agree,true,5,observation,true,none,true,neither,false,false
G390,speech_negation,agree,false,null,negation,false,none,true,environment,true,false
G391,format_r_confirmed,agree,true,4,observation,false,past_event,true,task,false,true
G392,clock_C_past_event,agree,true,4,observation,false,past_event,true,task,false,true
G393,env_positive,agree,false,null,none,false,none,false,environment,true,false
G394,strong_obs,agree,true,3,observation,false,none,true,task,false,true
G395,coord_topic,agree,false,null,prediction,false,none,true,task,false,true
G396,env_positive,agree,false,null,observation,false,none,true,environment,true,false
G397,clock_B_bare_now,agree,false,null,observation,false,bare_internal,true,neither,false,false
G398,negative_random,agree,false,null,prediction,false,none,true,neither,false,false
G399,speech_negation,adjudicated,false,null,prediction,false,none,true,both,true,true
G400,format_state_filled,agree,false,null,none,false,none,false,neither,false,false
