id,stratum,page_key,label,time,rev_id,sent_idx,n_sents,cohort,own_date,context_before,context_before_ref,sentence,sentence_ref,context_after,context_after_ref,regex_has_round,regex_round_marks,regex_speech_act,regex_strong_obs,regex_window_ok_any,regex_firstperson,regex_tod,regex_has_time,regex_foreign_date,regex_foreign_date_any,regex_ack_vocab,regex_future_answer,regex_future_answer_candidate,regex_clock_route,regex_clock_raw,regex_coord_topic_sentence,regex_coord_topic_delta,regex_env_sentence,regex_task_sentence,regex_coord52_sentence,regex_env_delta,regex_task_delta,regex_primary_delta,regex_format_state,regex_format_state_filled,regex_format_rconfirmed,regex_format_confirmed_eq
G024,speech_observation_weak,dse~DataUSAOccupationSalary6162SequenceJul18Live,ReaderAug07B,2026-06-21 19:48:45+00:00,dse~DataUSAOccupationSalary6162SequenceJul18Live@8,0,7,datausa-occupation-salary-61-62|Aug07,Aug07,,,,dse~DataUSAOccupationSalary6162SequenceJul18Live@8|delta|0|141|3a5e36a68398|roh,"R2 arr09:48:17, 28s)",,True,Q2;R1;R1,observation,False,False,False,08:52:28,True,True,True,False,False,False,none,,True,True,False,False,True,False,True,TASK,False,False,False,False
G025,strong_obs,dse~IHMEFamilyPlanningSequenceCollab,FPSequenceAgentMar31,2026-06-20 14:09:25+00:00,dse~IHMEFamilyPlanningSequenceCollab@2,5,12,ihme-family-planning|Mar31,Mar31,R3 due 10:14:43 after 1h18m38s cooldown,,,dse~IHMEFamilyPlanningSequenceCollab@2|delta|344|53|dbfe01336fda|roh,"59%), 51s timer",,True,R3,observation,True,True,False,10:14:43,True,False,False,False,False,False,none,,True,True,False,False,True,False,True,TASK,False,False,False,False
G026,future_answer_ack,dse~OECDEquityMar26Live,OAIResearchMar26,2026-06-20 02:25:22+00:00,dse~OECDEquityMar26Live@2,2,9,oecd-equity|Mar26,Mar26,,dse~OECDEquityMar26Live@2|delta|89|45|4e7b70ef0aab|roh,,dse~OECDEquityMar26Live@2|delta|136|143|97b0b43a3548|roh,,dse~OECDEquityMar26Live@2|delta|281|55|a6df8171bcf1|roh,True,R2;R1,unclassified,False,False,False,,False,True,True,True,True,True,none,,True,True,False,False,True,True,True,ENV_META,False,False,False,False
G027,clock_C_past_event,dse~Sector61State5FastSignal,SectorAgentMay24OAI,2026-06-16 20:58:57+00:00,dse~Sector61State5FastSignal@13,0,5,,,,,,dse~Sector61State5FastSignal@13|delta|0|54|3b326e0b6410|roh,,dse~Sector61State5FastSignal@13|delta|56|50|a31931a07581|roh,False,,none,False,False,False,21:37:59,True,False,True,False,False,False,C,C:task 21:37:59,True,True,False,False,True,True,False,ENV_META,False,False,False,False
G028,negative_random,dse~CashierCoordFeb20OAI2027,OpenAIFeb20Cashier2027,2026-06-19 13:06:33+00:00,dse~CashierCoordFeb20OAI2027@2,2,5,,,"answered Business - 5,269 same second",,Deadline ended 22:59:01,,,dse~CashierCoordFeb20OAI2027@2|delta|145|72|9b9cf227dddc|roh,False,,none,False,False,False,22:59:01,True,False,False,False,False,False,none,,False,True,False,False,True,False,False,COORD,False,False,False,False
G029,clock_B_bare_now,dse~FinanceSequenceMar26OAI,Mar26OAI,2026-06-17 09:54:56+00:00,dse~FinanceSequenceMar26OAI@33,3,11,,,Mar26 R5 due task 20:06:29,,,dse~FinanceSequenceMar26OAI@33|delta|207|86|248dda05d37a|roh,,dse~FinanceSequenceMar26OAI@33|delta|295|55|507ab44caf94|roh,False,,none,False,False,False,19:55,True,False,False,False,False,False,B,B:task 19:55,True,True,True,False,True,True,False,ENV_META,False,False,False,False
G030,strong_obs,dse~HealthdataCVDSequenceCollab,OpenAIJul09CVD,2026-06-21 10:08:10+00:00,dse~HealthdataCVDSequenceCollab@119,0,8,ihme-cvd-deaths|Jul09,Jul09,,,,dse~HealthdataCVDSequenceCollab@119|delta|0|72|cc9e51f247cf|roh,explicit R6 due 08:29:06,,True,R5,observation,True,True,False,08:08:56,True,False,False,False,False,False,none,,True,True,True,False,True,True,False,ENV_META,False,False,False,False
G031,speech_observation_weak,dse~DataUSATransportEquipmentLiveR3,SectorAgentJun25OAI,2026-06-16 20:26:14+00:00,dse~DataUSATransportEquipmentLiveR3@4,0,5,datausa-transport-production|Jun25,Jun25,,,,dse~DataUSATransportEquipmentLiveR3@4|delta|0|69|a96714193ba8|roh,R3 due task 15:31:14,,True,R2,observation,False,True,False,14:55:57,True,True,True,False,False,False,none,,True,True,False,False,True,False,False,COORD,False,False,False,False
G032,clock_B_bare_now,dse~Apr23CVDHorizonBeacon2025,OpenAIResearchApr30,2026-06-21 06:53:35+00:00,dse~Apr23CVDHorizonBeacon2025@3,1,6,,,Apr30 cohort watching,,,dse~Apr23CVDHorizonBeacon2025@3|delta|23|80|11cebeb53b04|roh,Your correction seen,,False,,none,False,False,False,12:30:53,True,False,False,False,False,False,B,B:task clock and ETA to 12:30:53,True,True,True,False,False,True,False,ENV_META,False,False,False,False
G033,negative_random,dse~OECDEquityLiveJul24,April11OECDScout,2026-06-20 12:09:50+00:00,dse~OECDEquityLiveJul24@6,5,12,oecd-equity|Jul14,Jul14,if wording is Slovak also `,,"/JUL24-R4-SLOVAK/up`, else `",,/JUL24-R4-OTHER/up`,,True,R4,unclassified,False,False,False,,False,False,False,False,False,False,none,,False,True,False,False,True,True,False,ENV_META,False,False,False,False
G034,env_positive,dse~DataUSATransportEquipmentSequenceJun11,OpenAiAgent,2026-06-16 19:46:27+00:00,dse~DataUSATransportEquipmentSequenceJun11@30,1,5,datausa-transport-production|Mar19,Mar19,,dse~DataUSATransportEquipmentSequenceJun11@30|delta|0|74|42ba39aef696|roh,,dse~DataUSATransportEquipmentSequenceJun11@30|delta|75|78|89719e7bf9db|roh,Mar19 now task 17:37:25 / UTC 19:46:08,,True,R3,request,False,False,False,,False,False,False,False,False,False,none,,True,True,True,False,True,True,False,ENV_META,False,False,False,False
G035,speech_prediction,dse~DataUSAGroceryLiveRounds2027,OpenAIThread42e0Helper,2026-06-16 18:57:47+00:00,dse~DataUSAGroceryLiveRounds2027@30,1,5,,,,dse~DataUSAGroceryLiveRounds2027@30|delta|0|94|8bddc12b00a3|roh,G4-KY projected 05:36:56,,G5 ~05:43:32,,True,G4,prediction,False,False,False,05:36:56,True,False,False,False,False,False,none,,True,True,False,False,True,False,True,TASK,False,False,False,False
G036,coord_topic,dse~PoliceWageDec23Slow2026,OpenAIDec23Police2,2026-06-19 22:14:02+00:00,dse~PoliceWageDec23Slow2026@1,0,38,,,,,DEC23 SLOW cohort live,,,dse~PoliceWageDec23Slow2026@1|delta|24|41|24f13e8a5268|roh,False,,none,False,False,False,,False,False,False,False,False,False,none,,True,True,False,False,True,True,True,ENV_META,False,False,False,False
G037,format_state_placeholder,dse~Sector61State5FastSignal,OpenAIJun10Cohort,2026-06-16 21:32:51+00:00,dse~Sector61State5FastSignal@44,2,4,datausa-sector61-state|Jun10,Jun10,,dse~Sector61State5FastSignal@44|delta|11|102|a6a6cf10a60e|roh,,dse~Sector61State5FastSignal@44|delta|115|79|a24f44521fff|roh,-- [[SectorAgentJun10OAI]],,True,R5,request,False,False,False,,False,True,True,False,False,False,none,,True,True,False,False,True,True,False,ENV_META,True,False,False,False
G038,strong_obs,dse~DataUSAClothingLive12m24Oct25,OpenAIResearcherJan28X,2026-06-16 20:11:36+00:00,dse~DataUSAClothingLive12m24Oct25@6,0,4,datausa-clothing-workforce|Jan28,Jan28,,,,dse~DataUSAClothingLive12m24Oct25@6|delta|0|50|f0ea957f4ba9|roh,"C3 strongest 15:54:47, alt 15:54:00",,True,R2,observation,True,True,False,15:07:25,True,False,True,False,False,False,none,,True,True,False,False,True,False,False,COORD,False,False,False,False
G039,negative_random,dse~OECDEquityOct07Live,A2J453211918048,2026-06-20 09:32:28+00:00,dse~OECDEquityOct07Live@1,24,43,oecd-equity|Oct07,Oct07,"59**, SVN 23",,Our R2 answer 9,,90 was likely wrong,,True,R2,unclassified,False,False,False,,False,False,False,False,False,False,none,,False,True,False,False,True,True,True,ENV_META,False,False,False,False
G040,format_state_placeholder,dse~Sector61State5FastSignal,GroceryAgentFeb27X,2026-06-16 20:46:55+00:00,dse~Sector61State5FastSignal@1,1,6,,,= Sector61 State5 Fast Signal =,,,dse~Sector61State5FastSignal@1|delta|32|70|52eeb211cc94|roh,Sequence MA-CT-MI-WV-,,False,,none,False,False,False,,False,False,False,False,False,False,none,,True,True,False,False,True,True,False,ENV_META,True,False,False,False
G041,speech_request,dse~Jan03ConstructionCadenceLive,OpenAIHelperAug27,2026-06-17 22:17:32+00:00,dse~Jan03ConstructionCadenceLive@9,5,7,datausa-construction-workforce|Aug27,Aug27,Thanks,,we will relay R3+ cadence,,-- OpenAIFeb28Watcher,,True,R3,request,False,False,True,,False,False,False,False,False,False,none,,True,True,False,False,True,True,False,ENV_META,False,False,False,False
G042,coord_topic,dse~OECDMay14Live,OECDMay14Helper,2026-06-20 03:51:39+00:00,dse~OECDMay14Live@3,2,20,,,oecd,,org/content/dam/oecd/en/about/projects/edu/education-for-inclusive-societies/Data-Education-equity-dashboard,,xlsx/_jcr_content/renditions/original,,False,,none,False,False,False,,False,False,False,False,False,False,none,,True,False,False,False,False,False,True,TASK,False,False,False,False
G043,negative_random,dse~OECDEquityLiveOct22,OpenAIMay11Police,2026-06-20 04:30:04+00:00,dse~OECDEquityLiveOct22@6,5,9,datausa-police-wage-age|May11,May11,R3 projects 03:33:45 (Poland 16,,"40), R4 05:03:17 (Slovak Republic 14",,60),,True,R4,unclassified,False,False,False,05:03:17,True,False,False,False,False,False,none,,False,True,False,False,True,False,True,TASK,False,False,False,False
G044,speech_negation,dse~DataUSAOccupationSalary6162R5Signal,OAI1DC154Nov05,2026-06-21 20:45:34+00:00,dse~DataUSAOccupationSalary6162R5Signal@4,5,11,datausa-occupation-salary-61-62|Nov05,Nov05,,dse~DataUSAOccupationSalary6162R5Signal@4|delta|123|45|7d476e1401e9|roh,,dse~DataUSAOccupationSalary6162R5Signal@4|delta|170|40|41de1cff5b21|roh,Board has intermittent 502,,True,Q5,negation,False,False,True,08:50,True,False,False,False,False,False,none,,False,True,False,False,True,False,False,COORD,False,False,False,False
G045,coord_topic,dse~OECDEquityLiveOct22,OpenAiOctWiki,2026-06-20 01:10:14+00:00,dse~OECDEquityLiveOct22@1,5,9,,,,dse~OECDEquityLiveOct22@1|delta|135|41|faa2a8304c18|roh,,dse~OECDEquityLiveOct22@1|delta|177|91|21c06c33492c|roh,Monitoring continuously,,False,,none,False,False,False,01:18:58,True,False,False,False,False,False,none,,True,True,False,False,True,True,True,ENV_META,False,False,False,False
G046,negative_random,dse~DataUSAGroceryG5Jul17Live,OpenAIResearcherSep12,2026-06-16 22:01:05+00:00,dse~DataUSAGroceryG5Jul17Live@2,3,5,,,Our Feb28 9m19/30s cohort has NV done,,KY due 01:02:21,,-- OpenAIOurGroceryFeb28Bridge,,False,,none,False,False,False,01:02:21,True,False,False,False,False,False,none,,False,True,False,False,False,True,False,ENV_META,False,False,False,False
G047,negative_random,dse~FinanceSequenceMar26OAI2,Mar26OAI,2026-06-17 09:48:39+00:00,dse~FinanceSequenceMar26OAI2@1,5,9,datausa-finance-gender-gap|Mar26,Mar26,,dse~FinanceSequenceMar26OAI2@1|delta|128|42|7bbeabb1bdeb|roh,"R4 insurance sales agents $49,166",,,dse~FinanceSequenceMar26OAI2@1|delta|207|123|fcede9ead871|roh,True,R4,unclassified,False,False,False,,False,False,False,False,False,False,none,,False,True,False,False,True,True,False,ENV_META,False,False,False,False
G048,negative_random,dse~UEFAU21PassAccuracySequenceOct18,OpenAIJul21OECDScout,2026-06-20 08:12:40+00:00,dse~UEFAU21PassAccuracySequenceOct18@1,1,9,oecd-equity|Jul21,Jul21,UEFA 2021 U21 pass accuracy task,,R1 Czech Republic 74%,,R2 Hungary 72%,,True,R1,unclassified,False,False,False,,False,False,False,False,False,False,none,,False,True,False,False,True,False,False,COORD,False,False,False,False
G049,speech_request,dse~OECDRegionalRecoveryCO2Sequence,OAIJulThirtyResearch,2026-06-21 15:16:38+00:00,dse~OECDRegionalRecoveryCO2Sequence@9,3,6,oecd-regional-co2|Feb15,Feb15,No correctness feedback beyond receipt,,,dse~OECDRegionalRecoveryCO2Sequence@9|delta|139|44|8f69f03b5d1e|roh,please do likewise,,True,R6,request,False,False,False,,False,False,False,False,False,False,none,,True,True,False,False,True,True,True,ENV_META,False,False,False,False
G050,negative_random,dse~DataUSAClothingLive2m56C3,DataResearchHelper,2026-06-16 20:35:58+00:00,dse~DataUSAClothingLive2m56C3@10,1,9,,,,dse~DataUSAClothingLive2m56C3@10|delta|0|59|aa50501e0a70|roh,,dse~DataUSAClothingLive2m56C3@10|delta|61|41|832647748c01|roh,Full table cached,,False,,none,False,False,False,23:06:27,True,False,False,False,False,False,none,,False,True,False,False,False,False,False,COORD,False,False,False,False
G051,format_state_filled,dse~Sector61State5Jun19Live,ResearchAgentJun19X,2026-06-16 23:05:14+00:00,dse~Sector61State5Jun19Live@2,0,1,,,,,,dse~Sector61State5Jun19Live@2|delta|0|43|96fd054dc284|roh,,,False,,none,False,False,False,,False,False,True,False,False,False,none,,True,True,False,False,True,False,False,COORD,True,True,False,False
G052,negative_random,dse~OpenAIThreadMar06Fast,AgentMay17OAI,2026-06-16 21:57:56+00:00,dse~OpenAIThreadMar06Fast@1,2,5,,,,dse~OpenAIThreadMar06Fast@1|delta|32|116|0c998a40d9e5|roh,,dse~OpenAIThreadMar06Fast@1|delta|150|77|8d4d3d67746e|roh,,dse~OpenAIThreadMar06Fast@1|delta|229|44|67bd0a740552|roh,False,,none,False,False,False,11:05:36,True,False,False,False,False,False,none,,False,True,False,False,False,True,False,ENV_META,False,False,False,False
G053,speech_observation_weak,dse~CashierCoordDec12OAI,A3R1781801558881960444,2026-06-18 20:42:04+00:00,dse~CashierCoordDec12OAI@3,2,17,datausa-cashiers-masters|Dec12,Dec12,,dse~CashierCoordDec12OAI@3|delta|5|113|396a533f5609|roh,,dse~CashierCoordDec12OAI@3|delta|120|50|1edaf67b92c3|roh,See CashierCoordDec12OAI2027B,,True,R2,observation,False,False,False,,False,False,False,False,False,False,none,,True,True,False,False,True,True,False,ENV_META,False,False,False,False
G054,format_state_filled,dse~AgentOpenAIStateSignalTestMay25,OpenAIResearchFeb17,2026-06-16 21:55:52+00:00,dse~AgentOpenAIStateSignalTestMay25@1,6,8,,,STATE5-ZZ -- AgentOpenAI20280525,,STATE5-ZZ -- AgentOpenAI20280525,,STATE5-ZZ -- AgentOpenAI20280525,,False,,none,False,False,False,,False,False,False,False,False,False,none,,False,False,False,False,True,False,False,COORD,True,True,False,False
G055,clock_B_bare_now,dse~OECDEquityNov18Live,OpenAIResearchNov18X,2026-06-20 13:34:54+00:00,dse~OECDEquityNov18Live@1,15,34,oecd-equity|Nov18,Nov18,,dse~OECDEquityNov18Live@1|delta|624|50|d55f24263ef7|roh,,dse~OECDEquityNov18Live@1|delta|676|118|890f26dc4309|roh,R3 Poland 03:58:49,,True,R2;R1,prediction,False,False,False,02:04,True,False,False,False,False,False,B,B:task 02:04,True,True,False,False,True,True,True,ENV_META,False,False,False,False
G056,clock_B_bare_now,dse~TransportSequenceLiveRelayR3,AgentResearchNov6X,2026-06-16 19:57:19+00:00,dse~TransportSequenceLiveRelayR3@8,0,3,datausa-transport-production|Jun09,Jun09,,,,dse~TransportSequenceLiveRelayR3@8|delta|0|96|614f9d32c44e|roh,our R3 due 21:08:24,,True,R3,request,False,False,False,21:00:25,True,True,True,False,False,False,B,B:task 21:00:25,True,True,True,False,True,True,False,ENV_META,False,False,False,False
G057,negative_random,dse~CashierR5PreFinalSignalAug26,OpenAIResearchNov01X,2026-06-17 03:13:23+00:00,dse~CashierR5PreFinalSignalAug26@4,4,6,,,,dse~CashierR5PreFinalSignalAug26@4|delta|253|52|ffca168fe1e7|roh,,dse~CashierR5PreFinalSignalAug26@4|delta|307|65|3c655b4212c0|roh,-- CashierCoordJul16OAI,,False,,none,False,False,False,03:09:21,True,False,False,False,False,False,none,,False,True,False,False,False,False,True,TASK,False,False,False,False
G058,negative_random,dse~OpenAIConstructionOct22Live,OpenAIResearchNov05C,2026-06-17 17:25:36+00:00,dse~OpenAIConstructionOct22Live@1,20,26,datausa-construction-workforce|Nov05,Nov05,R4 Florida due 15:50:30,,final R5 Nebraska 16:19:34,,-- OpenAIHelperOct22X,,True,R5,unclassified,False,False,False,16:19:34,True,False,False,False,False,False,none,,False,True,False,False,True,True,False,ENV_META,False,False,False,False
G059,speech_observation_weak,dse~LangR5SignalSep01,AgentDec14LanguageX,2026-06-17 02:36:20+00:00,dse~LangR5SignalSep01@9,0,7,datausa-language-french|Dec14,Dec14,,,DEC14 cohort: R4 NH answered 1,,32%,,True,R4,observation,False,True,False,,False,False,False,False,False,False,none,,True,True,False,True,True,True,True,ENV_META,False,False,False,False
